id,kode_paket,kode_rup,tahun_anggaran,nama_instansi,satuan_kerja,nama_penyedia,nama_paket,total_nilai,nilai_pdn,sumber_transaksi,sumber_dana,metode_pengadaan,jenis_pengadaan,status_paket,created_at,updated_at
1,2827373,34698005,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,CV. AULIA RIZKI PRATAMA,Pembangunan Drainase dan Gorong - Gorong di Desa Muaramais Jambur Kec. Tambangan,1.9850E+8,1.9850E+8,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
2,671972,34281017,2022,KAB. MANDAILING NATAL,DINAS KESEHATAN -,PT. Mersifarma Tirmaku Mercusana,Trihexyphenidyl hydrochloride (HCl)/ Triheksifenidil tablet/kapsul/kaplet 2 mg,5.040E+7,5.040E+7,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
3,2553373,34696700,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,CV. FARIZ PRATAMA,Pembangunan Baru SPAM Jaringan Perpipaan Desa Tolang,735591750,735591750,Tender,APBD,Tender,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
4,809126,34279202,2022,KAB. MANDAILING NATAL,DINAS KESEHATAN -,PT. Emiindo Jaya Bersama,Blood Pressure Monitor/ Tensimeter Digital Powerbank Plus  Adaptor,5455600,5455600,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
5,1825370,36366302,2022,KAB. MANDAILING NATAL,BAGIAN PENGADAAN BARANG DAN JASA SETDAKAB MANDAILING NATAL - 4.01.5.06.0.00.26.0005,CV. KREASI KENANGA,Binder Klip No. 105,252000,252000,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,PROSES KONTRAK PPK,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
6,741574,34281017,2022,KAB. MANDAILING NATAL,DINAS KESEHATAN -,P.T. Dexa Medica,Spironolactone/ Spironolakton tablet/kapsul/kaplet 25 mg,6.00E+6,6.00E+6,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
7,2814373,35573727,2022,KAB. MANDAILING NATAL,DINAS PENDIDIKAN -,CV. BERKAH QYMERA,Pembangunan Ruang Kelas Baru - SD Negeri 109 Siobon,1.9400E+8,1.9400E+8,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
8,919937,36087609,2022,KAB. MANDAILING NATAL,DINAS PENDIDIKAN DAN KEUBUDAYAAN - 1.01.2.22.0.00.00.0000,PT Sentra Kriya Edukasi,Peralatan Laboratorium IPA Biologi SMP,2.8776E+8,2.8776E+8,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,PROSES KONTRAK PPK,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
9,2493373,35538498,2022,KAB. MANDAILING NATAL,DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN - 1.04.0.00.0.00.04.0000,CV. WIKASA,Pembangunan Jalan Lingkungan di Desa Dalan Lidang Kec. lingga Bayu,1.3350E+8,1.3350E+8,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
10,1270685,36366301,2022,KAB. MANDAILING NATAL,BAGIAN PENGADAAN BARANG DAN JASA SETDAKAB MANDAILING NATAL - 4.01.5.06.0.00.26.0005,CV. KREASI KENANGA,Plastik Sampul,110250,110250,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,PROSES KONTRAK PPK,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
11,3051373,37516507,2022,KAB. MANDAILING NATAL,DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN - 1.04.0.00.0.00.04.0000,CV. MATAHARI ABADI,Pembangunan/ Rehabilitasi Jalan Lingkungan di Desa Muara Potan Kec. Kotanopan,140297000,140297000,Non Tender,APBDP,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
12,2812373,35573770,2022,KAB. MANDAILING NATAL,DINAS PENDIDIKAN -,CV.LANGGA SARI,Pembangunan Ruang Kelas Baru - SD Negeri 289 Lancat,194288000,194288000,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
13,2519373,35538521,2022,KAB. MANDAILING NATAL,DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN - 1.04.0.00.0.00.04.0000,CV. RAYA SEI RAYA,Pembangunan Jalan Lingkungan di Desa Simpang Duku Kec. Lingga Bayu,1.4710E+8,1.4710E+8,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
14,2610373,35573854,2022,KAB. MANDAILING NATAL,DINAS PENDIDIKAN -,CV. MUTIARA MUTIARA ABADI,Pembangunan Ruang Laboratorium Komputer Beserta Perabotnya (DAK) - SD Negeri 143 Barbaran,207666358,207666358,Tender,APBD,Tender,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
15,2529373,35538504,2022,KAB. MANDAILING NATAL,DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN - 1.04.0.00.0.00.04.0000,cv. riski nauli,Pembangunan Jalan Lingkungan di Lingkungan IV Banjar Bolak Promosi Kel. Kota Siantar Kec. Panyabungan,1.3475E+8,1.3475E+8,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
16,1480839,35761991,2022,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,PT. Hexpharm Jaya Laboratories,Simvastatin tablet/kapsul/kaplet/tablet salut selaput/kaplet salut selaput 10 mg,34000,34000,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
17,2713373,36093971,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,CV. RAJAWALI ENGINEERING CONSULTANT,Konsultan Pengawasan dan Perencanaan - Penyusunan RISPAM,9.950E+7,9.950E+7,Non Tender,APBD,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
18,3039373,37048644,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,CV. AULIA RIZKI PRATAMA,Rehabilitasi Jaringan Irigasi Bondar Saba Bariang Desa Gunung Tua MS Kecamatan Kotanopan,1.2400E+8,1.2400E+8,Non Tender,APBDP,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
19,2612373,35573917,2022,KAB. MANDAILING NATAL,DINAS PENDIDIKAN -,CV. KENZO MAHAGANI,Pembangunan Ruang Laboratorium Komputer Beserta Perabotnya (DAK) - SD Negeri 072 Sibaung Baung,207216585,207216585,Tender,APBD,Tender,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
20,2695373,35064776,2022,KAB. MANDAILING NATAL,DINAS PERTANIAN - 3.27.0.00.0.00.24.0000,CV. PUTRA PRATAMA,Rehabilitasi Lantai Gedung Dinas Pertanian,149782000,149782000,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
21,2799373,35574053,2022,KAB. MANDAILING NATAL,DINAS PENDIDIKAN -,CV. BANGKIT BERSAMA GROUP,Pembangunan Ruang Kelas Baru - SD Negeri 399 Gunung Godang,194249000,194249000,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
22,1482588,35761991,2022,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,P.T. Dexa Medica,Levofloxacin hemihydrate/ Levofloxacin/ Levofloksasin inf 5 mg/mL,3485200,3485200,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
23,2307963,38065970,2022,KAB. MANDAILING NATAL,SATUAN POLISI PAMONG PRAJA - 1.05.0.00.0.00.05.0000,UNTUNG INDAH JAYA,Seragam Pakaian Linmas,3.441E+7,3.441E+7,E-Katalog 5.0,APBDP,E-Purchasing,Pengadaan Barang,PROSES KONTRAK PPK,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
24,741471,35761950,2022,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,GE OPERATIONS INDONESIA,GE Vivid IQ Ultrasonic pulsed doppler imaging system 2D,1.49500E+9,0,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
25,3016373,37533849,2022,KAB. MANDAILING NATAL,DINAS PERTANIAN - 3.27.0.00.0.00.24.0000,CV. RAJA AKBAR,Belanja Bibit Padi Untuk Wilayah Mandailing Godang,198829500,198829500,Non Tender,APBDP,Pengadaan Langsung,Pengadaan Barang,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
26,2480373,35538467,2022,KAB. MANDAILING NATAL,DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN - 1.04.0.00.0.00.04.0000,CV. ZAQKIH ALAWI,Pembangunan Jalan Lingkungan Desa Pagaran Tonga Kecamatan Panyabungan,1.2820E+8,1.2820E+8,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
27,845002,35760354,2022,KAB. MANDAILING NATAL,DINAS LINGKUNGAN HIDUP - 2.11.0.00.0.00.12.0000,PT. Honoris Industry,Street Light HLS-LDL-2D 90 W,5.2044E+8,5.2044E+8,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
28,696548,34281017,2022,KAB. MANDAILING NATAL,DINAS KESEHATAN -,PT.Imfarmind Farmasi Industri,Salbutamol sulfate/ Salbutamol tablet/kapsul/kaplet 2 mg,5.00E+6,5.00E+6,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
29,1349096,35761991,2022,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,PT ANUGERAH RUMAH BESAR,JASMINE Premium Disposable Surgical Mask 3 Ply Earloop,1.110E+7,1.110E+7,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
30,2925373,37021589,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,CV. PUTRA PRATAMA,Rehabilitasi/Pemeliharaan Jembatan Gantung/Rambin Saba Pasir Kec.Kotanopan,1.9875E+8,1.9875E+8,Non Tender,APBDP,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
31,2595373,35598093,2022,KAB. MANDAILING NATAL,DINAS PENDIDIKAN -,cv. andalas raya,Pembangunan Ruang Laboratorium Komputer Beserta Perabotnya - SMP Negeri 6 Siabu,412399390,412399390,Tender,APBD,Tender,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
32,2515373,35538560,2022,KAB. MANDAILING NATAL,DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN - 1.04.0.00.0.00.04.0000,CV. IKHWAN FIRDAUS,Pembangunan Jalan Lingkungan di Desa Muara Bangko Kec. Ranto Baek,1.3448E+8,1.3448E+8,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
33,2659373,35573677,2022,KAB. MANDAILING NATAL,DINAS PENDIDIKAN -,CV. NABILA,Pembangunan Ruang UKS Beserta Perabotnya - SD Negeri 344 Bintungan Bejangkar,80269000,80269000,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
34,2711373,36033992,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,CV. EFOD DESIGN CONSULTANT,Jasa Konsultanasi Pengawasan Program Penataan Bangunan Gedung,49870635,49870635,Non Tender,APBD,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
35,2596373,35598026,2022,KAB. MANDAILING NATAL,DINAS PENDIDIKAN -,CV. WIRA BUANA,Pembangunan Ruang Laboratorium Komputer Beserta Perabotnya - SMP Negeri 2 Natal,508831694,508831694,Tender,APBD,Tender,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
36,2472373,34699620,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,CV. DALIHAN NATOLU,Peningkatan Jalan Jambur Padang Matinggi ‐ Tambiski,3942775888,3942775888,Tender,APBD,Tender,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
37,2446373,35769713,2022,KAB. MANDAILING NATAL,DINAS PEMUDA DAN OLAHRAGA - 2.19.0.00.0.00.20.0000,CV. DAME LANGGENG,Belanja Barang Untuk Diserahkan Kepada Masyarakat - Lapangan Tenis Meja,131768000,131768000,Non Tender,APBD,Pengadaan Langsung,Pengadaan Barang,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
38,2615373,36185217,2022,KAB. MANDAILING NATAL,DINAS KESEHATAN -,PT KIMIA FARMA TRADING& DISTRIBTION CABANG PEMATANGSIANTAR,Belanja Obat-Obatan-Obat,185534700,185534700,Non Tender,APBD,Pengadaan Langsung,Pengadaan Barang,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
39,670828,34281017,2022,KAB. MANDAILING NATAL,DINAS KESEHATAN -,PT. AFIFARMA,Domperidon/ Domperidone maleate/ Domperidone sirup/suspensi 5 mg/5 ml,4.718E+7,4.718E+7,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
40,1295226,35761991,2022,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,PT Ethica Industri Farmasi,Hiosin butilbromid/Hyoscine butylbromide/Hyoscine N Butylbromide inj 20 mg/ml,5778000,5778000,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
41,2796373,35573561,2022,KAB. MANDAILING NATAL,DINAS PENDIDIKAN -,CV. ANUGERAH AZKA WAHANA,Rehabilitasi Sedang/Berat Ruang Kelas Sekolah - SD Negeri 018 Lumban Pinasa,125334000,125334000,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
42,938467,34281364,2022,KAB. MANDAILING NATAL,DINAS KESEHATAN -,PT. Likuid Pharmalab Indonesia,Masker,99676605,99676605,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
43,2969373,37048291,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,CV.Tunjung Biru,Normalisasi Sungai Aek Mata Kecamatan Panyabungan,1.4900E+8,1.4900E+8,Non Tender,APBDP,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
44,2662373,35573607,2022,KAB. MANDAILING NATAL,DINAS PENDIDIKAN -,CV. HABIBI PRATAMA,Pembangunan Ruang UKS Beserta Perabotnya - SD Negeri 244 Simpang Mandepo,80248000,80248000,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
45,2793373,35573535,2022,KAB. MANDAILING NATAL,DINAS PENDIDIKAN -,cv. abadi karya,Rehabilitasi Sedang/Berat Ruang Kelas Sekolah (DAU) - SD Negeri 174 Purba Lamo,125386000,125386000,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
46,2708373,35792965,2022,KAB. MANDAILING NATAL,SEKRETARIAT DPRD KABUPATEN - 4.02.0.00.0.00.27.0000,CV. SINAR JAYA ABADI,Biaya Pengadaan Pakaian Dinas Pimpinan dan Anggota DPRD Pakaian Dinas Lengan Panjang,78366000,78366000,Non Tender,APBD,Pengadaan Langsung,Pengadaan Barang,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
47,939891,34281364,2022,KAB. MANDAILING NATAL,DINAS KESEHATAN -,PT Jayamas Medica Industri,Cotton Swab steril L,5804600,5804600,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
48,2872373,37006691,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,CV. MEDTAN CIPTA UTAMA,Penyusunan Dokumen Perencanaan Jembatan Wil. II,99222900,99222900,Non Tender,APBDP,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Non Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
49,941449,34280635,2022,KAB. MANDAILING NATAL,DINAS KESEHATAN -,PT RAFA TOPAZ UTAMA,SMART Tube Roller,77235000,0,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
50,1921391,35761991,2022,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,PT. Kimia Farma Tbk,Metoclopramide hydrochloride (HCl)/ Metoclopramida HCl/ Metoclopramide/ Metoklopramid tablet/kapsul/kaplet 5 mg (G),585000,585000,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
51,2783373,35071158,2022,KAB. MANDAILING NATAL,DINAS PERTANIAN - 3.27.0.00.0.00.24.0000,CV. PUTRI LESTARI,Belanja Bahan - Bahan Kimia,8.160E+7,8.160E+7,Non Tender,APBD,Pengadaan Langsung,Pengadaan Barang,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
52,717620,35761991,2022,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,PT Jayamas Medica Industri,Kasa Steril 16 cm x 16 cm,8.80E+6,8.80E+6,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
53,968272,35761991,2022,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,P.T. Dexa Medica,Divalproex sodium / Valproat tablet lepas lambat/kapsul lepas lambat 500 mg,7105000,7105000,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
54,704240,34281017,2022,KAB. MANDAILING NATAL,DINAS KESEHATAN -,NOVAPHARIN,Vitamin B Kompleks/ Vitamin B complex tablet,1.180E+7,1.180E+7,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
55,2781373,34686200,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,CV. SORIK MERAPI,Rehabilitasi Jaringan Irigasi Desa Manuncang Kecamatan Muara Batang Gadis,1.9800E+8,1.9800E+8,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
56,1362457,35761991,2022,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,PT INTI MEDIKA ALKESINDO,OGAN Surgical Mask - Head Loop (Hijab),6776950,6776950,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
57,2263309,35761991,2022,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,PT. Merck Tbk,Kalium Klorida tablet lepas lambat/kaplet lepas lambat 600 mg,5526000,5526000,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,PROSES KONTRAK PPK,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
58,2950373,37402891,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,CV. PUTRA PRATAMA,Penambahan Ruangan Kantor Camat Naga Juang,1.7933E+8,1.7933E+8,Non Tender,APBDP,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
59,3064373,37046326,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,CV.Tunjung Biru,Rehabilitasi SPAM di Desa Bulu Soma,9.940E+7,9.940E+7,Non Tender,APBDP,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
60,792233,34279202,2022,KAB. MANDAILING NATAL,DINAS KESEHATAN -,PT. Putra Nusa Logistindo,AR-MED STETHOSCOPE DEWASA,404000,404000,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
61,936315,36028154,2022,KAB. MANDAILING NATAL,DINAS PENDIDIKAN DAN KEUBUDAYAAN - 1.01.2.22.0.00.00.0000,PT Sentra Kriya Edukasi,PA503X,1.920E+7,0,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,PROSES KONTRAK PPK,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
62,1119748,35761991,2022,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,P.T. Dexa Medica,Levofloxacin hemihydrate/ Levofloxacin/ Levofloksasin inf 5 mg/mL,1742600,1742600,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
63,2794373,35573583,2022,KAB. MANDAILING NATAL,DINAS PENDIDIKAN -,CV.LANGGA SARI,Rehabilitasi Sedang/Berat Ruang Kelas Sekolah (DAU) - SD Negeri 156 Maga Lombang,1.2534E+8,1.2534E+8,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
64,2825373,34698024,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,cv. bugis nauli,Pembangunan Drainase di Aek Galoga Desa Pidoli Lombang Kec. Panyabungan,1.5840E+8,1.5840E+8,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
65,2918373,37236969,2022,KAB. MANDAILING NATAL,BADAN PENGELOLAAN KEUANGAN PENDAPATAN DAN ASET DAERAH -,CV. KREATIFITAS CEMERLANG,Belanja Modal Peralatan Jaringan,77311000,0,Non Tender,APBD,Pengadaan Langsung,Pengadaan Barang,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
66,2765373,36488509,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,CV. GAPURA ALAM PERSADA,Peningkatan SPAM Jaringan Perpipaan Air Minum Perdesaan Desa Padang Laru,96997000,96997000,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
67,2936373,36033994,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,PT. WINARA JAYA KONSULTAN,Penyusunan Detail Engineering Design (DED) Wisata Sawah,49839000,49839000,Non Tender,APBD,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
68,2491373,35538487,2022,KAB. MANDAILING NATAL,DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN - 1.04.0.00.0.00.04.0000,CV. KENZO MAHAGANI,Pembangunan Jalan Lingkungan di Desa Aek Mual Kec. Siabu,1.2729E+8,1.2729E+8,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
69,2186792,35761991,2022,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,PT Frismed Hoslab Indonesia,DG Gel Sol,1198800,0,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,PROSES KONTRAK PPK,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
