id,kode_paket,kode_rup,tahun_anggaran,nama_instansi,satuan_kerja,nama_penyedia,nama_paket,total_nilai,nilai_pdn,sumber_transaksi,sumber_dana,metode_pengadaan,jenis_pengadaan,status_paket,created_at,updated_at
1174,8300773,45589099,2023,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,PT.Elsyahfi Calibratech Mandiri,SLIT LAMP,735000,735000,E-Katalog 5.0,APBDP,E-Purchasing,Pengadaan Barang,PAKET SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1175,2928282,41736832,2023,KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,PT. Setia Anugrah Medika,DIRUI BCC-3900 Automatic Hematology Analyzer and Accessories,1.41996E+9,0,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1176,3290373,41384001,2023,KAB. MANDAILING NATAL,DINAS PERTANIAN - 3.27.0.00.0.00.24.0000,cv. abadi karya,Pembangunan/Rehabilitasi Jalan Usaha tani/Jalan Produksi Desa Buburan Kec.Natal,1.2493E+8,1.2493E+8,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1177,8078344,41733351,2023,KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,PT.Bernofarm,Clopidogrel bisulfate/ Clopidogrel/ Clopidogrel hydrogen sulfate/ Klopidogrel tablet/kapsul/kaplet 75 mg,4.20E+6,4.20E+6,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1178,4934513,43714038,2023,KAB. MANDAILING NATAL,DINAS PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA - 2.14.0.00.0.00.15.0000,cv. bugis nauli,RAK ARSIP,37356000,37356000,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1179,3205554,42104658,2023,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,P.T. Dexa Medica,Gabapentin tablet/kapsul/kaplet 300 mg,2.85E+6,2.85E+6,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1180,5041924,42104658,2023,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,P.T. Dexa Medica,Ranitidine hydrochloride (HCl)/Ranitidin tablet/kapsul/kaplet 150 mg,3.78E+6,3.78E+6,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1181,2832373,40966417,2023,KAB. MANDAILING NATAL,DINAS PENDIDIKAN DAN KEBUDAYAAN - 1.01.2.22.0.00.02.0000,CV. JAKRONAH,Pembangunan ruang laboratorium komputer beserta perabotnya SD Negeri 345 Banjar Aur,228879999,228879999,Tender,APBD,Tender,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1182,2894373,44142247,2023,KAB. MANDAILING NATAL,DINAS PENDIDIKAN DAN KEBUDAYAAN - 1.01.2.22.0.00.02.0000,CV. TORKIS LUBIS GROUP,Rehabilitasi Kantor Dinas Pendidikan,913195949,913195949,Tender,APBD,Tender,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1183,3600373,42267876,2023,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.03.0000,CV. PUTRA PRATAMA,Rehabilitasi Kantor Dinas Penanaman Modal dan Pelayanan Perizinan Terpadu Satu Pintu Kab. Mandailing Natal,1.9956E+8,1.9956E+8,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
