nama_paket;pagu;jenis;tahun;kategori;metode;bulan;lokasi;instansi;nomor_id
Pengadaan BMHP (BOK);781974613;Barang;2026;Bukan Usaha Kecil Koperasi;E Purchasing;March 2026;Mandailing Natal;DINAS KESEHATAN;65380658
Belanja Bahan Bahan Baku;99209750;Barang;2026;Bukan Usaha Kecil Koperasi;E Purchasing;March 2026;Mandailing Natal;DINAS KESEHATAN;65379838
Belanja Obat Obatan Obat  Pengadaan Obat  Vaksin (BOK);1811670115;Barang;2026;Bukan Usaha Kecil Koperasi;E Purchasing;March 2026;Mandailing Natal;DINAS KESEHATAN;65477997
Pengadaan Obat  Vaksin (DAU PERUNTUKAN KESEHATAN);800790250;Barang;2026;Bukan Usaha Kecil Koperasi;E Purchasing;March 2026;Mandailing Natal;DINAS KESEHATAN;65477682
Belanja Obat Obatan Obat Obatan Lainnya;119460000;Barang;2026;Bukan Usaha Kecil Koperasi;E Purchasing;March 2026;Mandailing Natal;DINAS KESEHATAN;65379839
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;20930100;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS KETAHANAN PANGAN;64963586
Belanja Obat Obatan Obat Obatan Lainnya;26467200;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS KETAHANAN PANGAN;64963795
Belanja Alat Bahan untuk Kegiatan Kantor Bahan Komputer;553150;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS KETAHANAN PANGAN;64963768
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;9663450;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BAGIAN ADMINISTRASI PEMBANGUNAN;65337018
Belanja Natura dan Pakan Natura;419250;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN SERTA PERTANAHAN;65746732
Belanja Natura dan Pakan Natura;419250;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN SERTA PERTANAHAN;65746759
Belanja Makanan dan Minuman Rapat;340000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN SERTA PERTANAHAN;65746760
Belanja Peralatan dan Mesin Alat Kantor dan Rumah Tangga Alat Kantor Mesin Hitung Mesin Jumlah;362500;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;KECAMATAN PUNCAK SORIK MARAPI;65478572
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;876000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERTANIAN;65654725
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;748950;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERTANIAN;65654724
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;5168400;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERTANIAN;65654376
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;547300;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERTANIAN;65654716
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;4493750;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERTANIAN;65654857
Belanja Modal Peralatan Personal Computer;9481500;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERTANIAN;65654889
Belanja Modal Alat Kesehatan Umum Lainnya;8866900;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERTANIAN;65654613
Belanja Modal Alat Pendingin;1528050;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERTANIAN;65654887
Belanja Bahan Bahan Kimia;22904200;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERTANIAN;65654610
Belanja Alat Bahan untuk Kegiatan Kantor Benda Pos;10000000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA;65158042
Belanja Alat Bahan untuk Kegiatan Kantor Benda Pos;1000000;Barang;2026;Usaha Kecil Koperasi;Dikecualikan;January 2026;Mandailing Natal;BADAN KESATUAN BANGSA DAN POLITIK;64961174
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;978750;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;BAGIAN ORGANISASI;65522399
Belanja Modal Komputer Unit Lainnya;6227200;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;BAGIAN ORGANISASI;65522392
Belanja Alat Bahan untuk Kegiatan Kantor Benda Pos;7500000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;BAGIAN PERENCANAAN DAN KEUANGAN;65523502
Belanja Modal Personal Computer;23256700;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERDAGANGAN;65152116
Belanja Makanan dan Minuman Rapat;1385280;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERDAGANGAN;65152732
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;3843311;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERDAGANGAN;65152736
Belanja Alat Bahan untuk Kegiatan Kantor Benda Pos;500000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERDAGANGAN;65152883
Belanja Pakaian Sipil Harian (PSH);18240000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERDAGANGAN;65152118
Belanja Makanan dan Minuman Rapat;15525000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERHUBUNGAN;65511060
Belanja Pemeliharaan Alat Angkutan Alat Angkutan Darat Bermotor Kendaraan Bermotor Penumpang;147280000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERHUBUNGAN;65511470
Belanja Alat Bahan untuk Kegiatan Kantor Benda Pos;5000000;Barang;2026;Usaha Kecil Koperasi;Dikecualikan;February 2026;Mandailing Natal;DINAS PERHUBUNGAN;65511521
Belanja Makanan dan Minuman Rapat;70650000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERHUBUNGAN;65512445
Belanja Modal Alat Pelindung Lainnya;689400;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERHUBUNGAN;65512289
Belanja Makanan dan Minuman Aktivitas Lapangan;2181000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERHUBUNGAN;65512414
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;484600;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;KECAMATAN LEMBAH SORIK MARAPI;65545011
Belanja Alat Bahan untuk Kegiatan Kantor Benda Pos;2000000;Barang;2026;Usaha Kecil Koperasi;Dikecualikan;January 2026;Mandailing Natal;KECAMATAN LEMBAH SORIK MARAPI;65545118
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;16207000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PEMUDA DAN OLAHRAGA;65970907
Belanja Barang untuk Dijual Diserahkan kepada Masyarakat;3015100;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PEMUDA DAN OLAHRAGA;65971076
Belanja Makanan dan Minuman Rapat;5100000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PEMUDA DAN OLAHRAGA;65828413
Belanja Makanan dan Minuman Rapat;4625000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PEMUDA DAN OLAHRAGA;65971261
Belanja Alat Bahan untuk Kegiatan Kantor  Bahan Cetak;1959600;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PEMUDA DAN OLAHRAGA;65828406
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;30027900;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL;66116256
Belanja Barang untuk Dijual Diserahkan kepada Masyarakat;11746300;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BADAN PENANGGULANGAN BENCANA DAERAH;66185562
Belanja Barang untuk Dijual Diserahkan kepada Masyarakat;32684000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BADAN PENANGGULANGAN BENCANA DAERAH;66185650
Belanja Makanan dan Minuman Rapat;1550000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS PARIWISATA;66227845
Belanja Pemeliharaan Alat Bengkel dan Alat Ukur Alat Bengkel Bermesin Perkakas Bengkel Listrik;1800000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS PARIWISATA;66227853
Belanja Peralatan dan Mesin Komputer Komputer Unit Personal Computer;34885050;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS PARIWISATA;66227451
Belanja Modal Mebel;60255900;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS PARIWISATA;66227849
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;16391400;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;KECAMATAN PANYABUNGAN;66094757
Belanja Makanan dan Minuman Rapat;8400000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;KECAMATAN PANYABUNGAN;66094754
Belanja Modal Peralatan dan Mesin BLUD;452436000;Barang;2026;Usaha Kecil Koperasi;E Purchasing;March 2026;Mandailing Natal;RUMAH SAKIT UMUM DAERAH PANYABUNGAN;66334464
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;21693100;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS KOMUNIKASI DAN INFORMATIKA;64934305
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;6936000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS KOMUNIKASI DAN INFORMATIKA;64957833
Belanja Suku Cadang Suku Cadang Alat Angkutan;7627150;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS KOMUNIKASI DAN INFORMATIKA;64962752
Belanja Modal Peralatan Komputer Lainnya;3508650;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS KOMUNIKASI DAN INFORMATIKA;64957831
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;1624500;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BADAN PENDAPATAN DAERAH;64676939
Belanja Alat Bahan untuk Kegiatan Kantor  Suvenir Cendera Mata;12681000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BADAN PENDAPATAN DAERAH;64676935
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;36310800;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BADAN PENDAPATAN DAERAH;64677158
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;49230350;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BADAN PENDAPATAN DAERAH;64677155
Belanja Peralatan dan Mesin Komputer Komputer Unit Personal Computer;7525100;Barang;2026;Usaha Kecil Koperasi;E Purchasing;January 2026;Mandailing Natal;BADAN PENDAPATAN DAERAH;64677301
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;77575100;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BAGIAN UMUM;64228407
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;4306250;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BAGIAN TATA PEMERINTAHAN;64359818
Belanja Makanan dan Minuman Rapat;19389000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BAGIAN PEREKONOMIAN DAN SUMBER DAYA ALAM;64362568
Belanja Natura dan Pakan Natura;1383200;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS PEMBERDAYAAN MASYARAKAT DAN DESA;64561966
Belanja Makanan dan Minuman Rapat;108684000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS PEMBERDAYAAN MASYARAKAT DAN DESA;64563768
Belanja Barang untuk Dijual Diserahkan kepada Masyarakat;10088700;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS PEMBERDAYAAN MASYARAKAT DAN DESA;64561682
Belanja Kawat Faksimili Internet TV Berlangganan;12744600;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS PEMBERDAYAAN MASYARAKAT DAN DESA;64562675
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;11500000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS PEMBERDAYAAN MASYARAKAT DAN DESA;64563318
Belanja Alat Bahan untuk Kegiatan Kantor Benda Pos;200000;Barang;2026;Usaha Kecil Koperasi;Dikecualikan;January 2026;Mandailing Natal;DINAS PEMBERDAYAAN MASYARAKAT DAN DESA;64561680
Belanja Alat Bahan untuk Kegiatan Kantor Benda Pos;2750000;Barang;2026;Usaha Kecil Koperasi;Dikecualikan;January 2026;Mandailing Natal;DINAS PEMBERDAYAAN MASYARAKAT DAN DESA;64563765
Belanja Alat Bahan untuk Kegiatan Kantor Perlengkapan Dinas;25772500;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS PEMBERDAYAAN MASYARAKAT DAN DESA;64561963
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;45079150;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS PEMBERDAYAAN MASYARAKAT DAN DESA;64563406
Belanja Bahan Bahan Bibit Ternak Bibit Ikan;6313500;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERIKANAN;66415541
Belanja Bahan Bahan Baku;1193750;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERIKANAN;66415526
Belanja Makanan dan Minuman Aktivitas Lapangan;7800000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERIKANAN;66415544
Belanja Alat Bahan untuk Kegiatan Kantor Bahan Komputer;1071250;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;INSPEKTORAT DAERAH KABUPATEN;66176288
Belanja Suku Cadang Suku Cadang Alat Angkutan;1142800;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;INSPEKTORAT DAERAH KABUPATEN;66175648
Belanja Makanan dan Minuman Rapat;10050000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;INSPEKTORAT DAERAH KABUPATEN;66174610
Belanja Alat Bahan untuk Kegiatan Kantor Bahan Komputer;11240600;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;INSPEKTORAT DAERAH KABUPATEN;66175217
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;12234000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;INSPEKTORAT DAERAH KABUPATEN;66176325
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;17801000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS TENAGA KERJA;66027992
Belanja Bahan Bahan Baku;6880000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS TENAGA KERJA;66027934
Belanja Bahan Bahan Bangunan dan Konstruksi;3300550;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;KECAMATAN ULU PUNGKUT;65593145
Belanja Barang untuk Dijual Diserahkan kepada Masyarakat;24680950;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS KOPERASI USAHA KECIL DAN MENENGAH;66729259
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;24370150;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU;66827314
Belanja Alat Bahan untuk Kegiatan Kantor  Alat Tulis Kantor;10325300;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH;66798011
Belanja Alat Bahan untuk Kegiatan Kantor  BAhan Komputer;3858000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH;66798603
Belanja Alat Bahan untuk Kegiatan Kantor  BAhan Komputer;1607500;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH;66798350
Belanja Alat Bahan untuk Kegiatan Kantor  BAhan Komputer;4144900;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH;66798961
Belanja Alat Bahan untuk Kegiatan Kantor  Alat Tulis Kantor;19602150;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH;66798718
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;449100;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH;66799419
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;3510000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH;66799550
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;24845000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH;66750747
Belanja Alat Bahan untuk Kegiatan Kantor  BAhan Komputer;6197800;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH;66750871
Belanja Alat Bahan untuk Kegiatan Kantor  Benda Pos;1200000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH;66703504
Belanja Alat Bahan untuk Kegiatan Kantor  Alat Tulis Kantor;52667750;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH;66705029
Belanja Alat Bahan untuk Kegiatan Kantor  Benda Pos;2000000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH;66443591
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;5949000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH;66704226
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;102900;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;March 2026;Mandailing Natal;BADAN PERENCANAAN PEMBANGUNAN RISET DAN INOVASI DAERAH;66728126
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;475600;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;March 2026;Mandailing Natal;BADAN PERENCANAAN PEMBANGUNAN RISET DAN INOVASI DAERAH;66728101
Belanja Alat Bahan untuk Kegiatan Kantor Perabot Kantor;522600;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;March 2026;Mandailing Natal;BADAN PERENCANAAN PEMBANGUNAN RISET DAN INOVASI DAERAH;66728725
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;540750;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;March 2026;Mandailing Natal;BADAN PERENCANAAN PEMBANGUNAN RISET DAN INOVASI DAERAH;66728783
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;576600;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;March 2026;Mandailing Natal;BADAN PERENCANAAN PEMBANGUNAN RISET DAN INOVASI DAERAH;66728551
Belanja Alat Bahan untuk Kegiatan Kantor Bahan Komputer;928000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;March 2026;Mandailing Natal;BADAN PERENCANAAN PEMBANGUNAN RISET DAN INOVASI DAERAH;66728341
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;1107000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;March 2026;Mandailing Natal;BADAN PERENCANAAN PEMBANGUNAN RISET DAN INOVASI DAERAH;66728469
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;1107000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;March 2026;Mandailing Natal;BADAN PERENCANAAN PEMBANGUNAN RISET DAN INOVASI DAERAH;66728388
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;1700250;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;March 2026;Mandailing Natal;BADAN PERENCANAAN PEMBANGUNAN RISET DAN INOVASI DAERAH;66728317
Belanja Alat Bahan untuk Kegiatan Kantor Bahan Komputer;1856000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;March 2026;Mandailing Natal;BADAN PERENCANAAN PEMBANGUNAN RISET DAN INOVASI DAERAH;66728100
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;1865850;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;March 2026;Mandailing Natal;BADAN PERENCANAAN PEMBANGUNAN RISET DAN INOVASI DAERAH;66728620
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;1879500;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;March 2026;Mandailing Natal;BADAN PERENCANAAN PEMBANGUNAN RISET DAN INOVASI DAERAH;66727868
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;2214000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;March 2026;Mandailing Natal;BADAN PERENCANAAN PEMBANGUNAN RISET DAN INOVASI DAERAH;66727908
Belanja Alat Bahan untuk Kegiatan Kantor Bahan Komputer;2300800;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;March 2026;Mandailing Natal;BADAN PERENCANAAN PEMBANGUNAN RISET DAN INOVASI DAERAH;66727951
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;2786700;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;March 2026;Mandailing Natal;BADAN PERENCANAAN PEMBANGUNAN RISET DAN INOVASI DAERAH;66728387
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;3891250;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;March 2026;Mandailing Natal;BADAN PERENCANAAN PEMBANGUNAN RISET DAN INOVASI DAERAH;66728792
Belanja Bahan Bahan Bakar dan Pelumas;5660000;Barang;2026;Usaha Kecil Koperasi;Dikecualikan;March 2026;Mandailing Natal;BADAN PERENCANAAN PEMBANGUNAN RISET DAN INOVASI DAERAH;66728834
Belanja Pemeliharaan Alat Bengkel dan Alat Ukur Alat Bengkel Bermesin Perkakas Bengkel Listrik;8640000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;March 2026;Mandailing Natal;BADAN PERENCANAAN PEMBANGUNAN RISET DAN INOVASI DAERAH;66728835
Belanja Peralatan dan Mesin Komputer Komputer Unit Personal Computer;15265350;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;March 2026;Mandailing Natal;BADAN PERENCANAAN PEMBANGUNAN RISET DAN INOVASI DAERAH;66727832
Belanja Pakaian Batik Tradisional;8000000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS PENDIDIKAN DAN KEBUDAYAAN;66769645
Belanja Modal Elektrik;10350000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS PENDIDIKAN DAN KEBUDAYAAN;66770889
Belanja Barang untuk Dijual Diserahkan kepada Pihak Ketiga Pihak Lain;22077950;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS PENDIDIKAN DAN KEBUDAYAAN;66770819
Belanja Makanan dan Minuman pada Fasilitas Pelayanan Urusan Pendidikan;126580000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS PENDIDIKAN DAN KEBUDAYAAN;66770638
Belanja Natura dan Pakan Natura;13770000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS PENDIDIKAN DAN KEBUDAYAAN;66769703
Belanja Barang untuk Dijual Diserahkan kepada Masyarakat;122523600;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS PENDIDIKAN DAN KEBUDAYAAN;66770639
Belanja Natura dan Pakan Natura;1729000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS PENDIDIKAN DAN KEBUDAYAAN;66770169
