KAB. MANDAILING NATAL,DINAS PENDIDIKAN - ,2610373,35573854,2022,Tender,APBD,CV. MUTIARA MUTIARA ABADI,Tender,Pekerjaan Konstruksi,Pembangunan Ruang Laboratorium Komputer Beserta Perabotnya (DAK) - SD Negeri 143 Barbaran,SELESAI,207666358,207666358;;;;;
KAB. MANDAILING NATAL,DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN - 1.04.0.00.0.00.04.0000,2529373,35538504,2022,Non Tender,APBD,cv. riski nauli,Pengadaan Langsung,Pekerjaan Konstruksi,Pembangunan Jalan Lingkungan di Lingkungan IV Banjar Bolak Promosi Kel. Kota Siantar Kec. Panyabungan,SELESAI,134750000,134750000;;;;;
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,1480839,35761991,2022,E-Katalog 5.0,BLUD,PT. Hexpharm Jaya Laboratories,E-Purchasing,Pengadaan Barang,Simvastatin tablet/kapsul/kaplet/tablet salut selaput/kaplet salut selaput 10 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,34000,34000;;;;;
KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - ,2713373,36093971,2022,Non Tender,APBD,CV. RAJAWALI ENGINEERING CONSULTANT,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Konsultan Pengawasan dan Perencanaan - Penyusunan RISPAM,SELESAI,99500000,99500000;;;;;
KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - ,3039373,37048644,2022,Non Tender,APBDP,CV. AULIA RIZKI PRATAMA,Pengadaan Langsung,Pekerjaan Konstruksi,Rehabilitasi Jaringan Irigasi Bondar Saba Bariang Desa Gunung Tua MS Kecamatan Kotanopan,SELESAI,124000000,124000000;;;;;
KAB. MANDAILING NATAL,DINAS PENDIDIKAN - ,2612373,35573917,2022,Tender,APBD,CV. KENZO MAHAGANI,Tender,Pekerjaan Konstruksi,Pembangunan Ruang Laboratorium Komputer Beserta Perabotnya (DAK) - SD Negeri 072 Sibaung Baung,SELESAI,207216585,207216585;;;;;
"KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,1874347,35761991,2022,E-Katalog 5.0,BLUD,PT Bayer Indonesia,E-Purchasing,Pengadaan Barang,""Analog insulin mix insulin inj 100 IU/mL (kemasan vial, cartridge disposible, penfill cartridge)"",MELAKUKAN PENGIRIMAN DAN PENERIMAAN,3360000,0";;;;;
"KAB. MANDAILING NATAL,DINAS KESEHATAN - ,704084,34281017,2022,E-Katalog 5.0,APBD,PT.Phapros Tbk,E-Purchasing,Pengadaan Barang,""Kaptopril/ Captopril tablet/kapsul/kaplet 12,5 mg"",MELAKUKAN PENGIRIMAN DAN PENERIMAAN,25160000,25160000";;;;;
KAB. MANDAILING NATAL,DINAS PERTANIAN - 3.27.0.00.0.00.24.0000,2695373,35064776,2022,Non Tender,APBD,CV. PUTRA PRATAMA,Pengadaan Langsung,Pekerjaan Konstruksi,Rehabilitasi Lantai Gedung Dinas Pertanian,SELESAI,149782000,149782000;;;;;
KAB. MANDAILING NATAL,DINAS PENDIDIKAN - ,2799373,35574053,2022,Non Tender,APBD,CV. BANGKIT BERSAMA GROUP,Pengadaan Langsung,Pekerjaan Konstruksi,Pembangunan Ruang Kelas Baru - SD Negeri 399 Gunung Godang,SELESAI,194249000,194249000;;;;;
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,1482588,35761991,2022,E-Katalog 5.0,BLUD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Levofloxacin hemihydrate/ Levofloxacin/ Levofloksasin inf 5 mg/mL,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,3485200,3485200;;;;;
KAB. MANDAILING NATAL,SATUAN POLISI PAMONG PRAJA - 1.05.0.00.0.00.05.0000,2307963,38065970,2022,E-Katalog 5.0,APBDP,UNTUNG INDAH JAYA,E-Purchasing,Pengadaan Barang,Seragam Pakaian Linmas,PROSES KONTRAK PPK,34410000,34410000;;;;;
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,741471,35761950,2022,E-Katalog 5.0,APBD,GE OPERATIONS INDONESIA,E-Purchasing,Pengadaan Barang,GE Vivid IQ Ultrasonic pulsed doppler imaging system 2D,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,1495000000,0;;;;;
KAB. MANDAILING NATAL,DINAS PERTANIAN - 3.27.0.00.0.00.24.0000,3016373,37533849,2022,Non Tender,APBDP,CV. RAJA AKBAR,Pengadaan Langsung,Pengadaan Barang,Belanja Bibit Padi Untuk Wilayah Mandailing Godang,SELESAI,198829500,198829500;;;;;
KAB. MANDAILING NATAL,DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN - 1.04.0.00.0.00.04.0000,2480373,35538467,2022,Non Tender,APBD,CV. ZAQKIH ALAWI,Pengadaan Langsung,Pekerjaan Konstruksi,Pembangunan Jalan Lingkungan Desa Pagaran Tonga Kecamatan Panyabungan,SELESAI,128200000,128200000;;;;;
KAB. MANDAILING NATAL,DINAS LINGKUNGAN HIDUP - 2.11.0.00.0.00.12.0000,845002,35760354,2022,E-Katalog 5.0,APBD,PT. Honoris Industry,E-Purchasing,Pengadaan Barang,Street Light HLS-LDL-2D 90 W,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,520440000,520440000;;;;;
KAB. MANDAILING NATAL,DINAS KESEHATAN - ,696548,34281017,2022,E-Katalog 5.0,APBD,PT.Imfarmind Farmasi Industri,E-Purchasing,Pengadaan Barang,Salbutamol sulfate/ Salbutamol tablet/kapsul/kaplet 2 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,5000000,5000000;;;;;
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,1349096,35761991,2022,E-Katalog 5.0,BLUD,PT ANUGERAH RUMAH BESAR,E-Purchasing,Pengadaan Barang,JASMINE Premium Disposable Surgical Mask 3 Ply Earloop,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,11100000,11100000;;;;;
KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - ,2925373,37021589,2022,Non Tender,APBDP,CV. PUTRA PRATAMA,Pengadaan Langsung,Pekerjaan Konstruksi,Rehabilitasi/Pemeliharaan Jembatan Gantung/Rambin Saba Pasir Kec.Kotanopan,SELESAI,198750000,198750000;;;;;
KAB. MANDAILING NATAL,DINAS PENDIDIKAN - ,2595373,35598093,2022,Tender,APBD,cv. andalas raya,Tender,Pekerjaan Konstruksi,Pembangunan Ruang Laboratorium Komputer Beserta Perabotnya - SMP Negeri 6 Siabu,SELESAI,412399390,412399390;;;;;
KAB. MANDAILING NATAL,DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN - 1.04.0.00.0.00.04.0000,2515373,35538560,2022,Non Tender,APBD,CV. IKHWAN FIRDAUS,Pengadaan Langsung,Pekerjaan Konstruksi,Pembangunan Jalan Lingkungan di Desa Muara Bangko Kec. Ranto Baek,SELESAI,134480000,134480000;;;;;
KAB. MANDAILING NATAL,DINAS PENDIDIKAN - ,2659373,35573677,2022,Non Tender,APBD,CV. NABILA,Pengadaan Langsung,Pekerjaan Konstruksi,Pembangunan Ruang UKS Beserta Perabotnya - SD Negeri 344 Bintungan Bejangkar,SELESAI,80269000,80269000;;;;;
KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - ,2711373,36033992,2022,Non Tender,APBD,CV. EFOD DESIGN CONSULTANT,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Jasa Konsultanasi Pengawasan Program Penataan Bangunan Gedung,SELESAI,49870635,49870635;;;;;
