Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KAB. MANDAILING NATAL,DINAS PERDAGANGAN - 3.30.3.31.0.00.25.0000,3407373,41667214,2023,Non Tender,APBD,CV. AZKA REJEKI BERSAMA,Pengadaan Langsung,Pekerjaan Konstruksi,Pengecetan Pasar Sihepeng Kecamatan Siabu,SELESAI,49550000,49550000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,3771786,42104658,2023,E-Katalog 5.0,BLUD,PT. Kimia Farma Tbk,E-Purchasing,Pengadaan Barang,Pethidine hydrochloride/ Petidin inj 50 mg/mL (i.m./i.v.),MELAKUKAN PENGIRIMAN DAN PENERIMAAN,4189500,4189500
KAB. MANDAILING NATAL,DINAS PERTANIAN - 3.27.0.00.0.00.24.0000,4167780,43463664,2023,E-Katalog 5.0,APBD,CV. AULIA RIZKI PRATAMA,E-Purchasing,Pengadaan Barang,Bibit Jahe,PROSES KONTRAK PPK,94080000,94080000
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,5420420,41733351,2023,E-Katalog 5.0,APBD,PT. CENDO,E-Purchasing,Pengadaan Barang,"Gentamisin/ Gentamycin sulfate salep mata 0,3% (3 mg/g)",MELAKUKAN PENGIRIMAN DAN PENERIMAAN,72676000,72676000
KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.03.0000,3245373,40815476,2023,Non Tender,APBD,CV. BANGKIT BERSAMA GROUP,Pengadaan Langsung,Pekerjaan Konstruksi,Rehabilitasi Tanggul Sungai Aek Sibio - Bio Desa Gunung Tua Lumban Pasir Kec. Payabungan,SELESAI,148000000,148000000
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,3972882,41733351,2023,E-Katalog 5.0,APBD,NOVAPHARIN,E-Purchasing,Pengadaan Barang,Ibuprofen tablet/kapsul/kaplet 400 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,13065000,13065000
KAB. MANDAILING NATAL,BAGIAN UMUM SETDAKAB MANDAILING NATAL - 4.01.5.06.0.00.26.0009,3767373,45563509,2023,Non Tender,APBD,CV. DAME LANGGENG,Pengadaan Langsung,Pengadaan Barang,Belanja Modal Alat Studio Lainnya,SELESAI,199078500,0
KAB. MANDAILING NATAL,DINAS PENDIDIKAN DAN KEBUDAYAAN - 1.01.2.22.0.00.02.0000,2853373,40966250,2023,Tender,APBD,CV. AVATARA,Tender,Pekerjaan Konstruksi,Pembangunan Ruang Perpustakaan Beserta Perabotnya SD Negeri 337 Kampung Kapas II,SELESAI,202711098,202711098
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,8300773,45589099,2023,E-Katalog 5.0,APBDP,PT.Elsyahfi Calibratech Mandiri,E-Purchasing,Pengadaan Barang,Ultra Sound Therpay,PAKET SELESAI,715000,715000
KAB. MANDAILING NATAL,DINAS PENDIDIKAN DAN KEBUDAYAAN - 1.01.2.22.0.00.02.0000,3186373,41023166,2023,Non Tender,APBD,CV. TIARANI UTAMA,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Jasa Konsultan Perencanaan Pembangunan Ruang Tata Usaha Beserta Perabotnya (DAK),SELESAI,99900000,99900000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,3205882,42104658,2023,E-Katalog 5.0,BLUD,PT. Mersifarma Tirmaku Mercusana,E-Purchasing,Pengadaan Barang,Clobazam/ Klobazam tablet/kapsul/kaplet 10 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2305000,2305000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,7533355,42104658,2023,E-Katalog 5.0,BLUD,PT Ethica Industri Farmasi,E-Purchasing,Pengadaan Barang,"Atropin inj 0,25 mg/mL (i.v./s.k.)",MELAKUKAN PENGIRIMAN DAN PENERIMAAN,1480000,1480000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,6106809,42104658,2023,E-Katalog 5.0,BLUD,PT Pratapa Nirmala,E-Purchasing,Pengadaan Barang,Levetiracetam/ Levetirasetam tablet 500 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,4995000,4995000
