Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KAB. MANDAILING NATAL,BADAN PENDAPATAN DAERAH - 5.02.0.00.0.00.28.0000,3829373,50377114;50377283,2024,Non Tender,APBD,CV. KREATIFITAS CEMERLANG,Pengadaan Langsung,Pengadaan Barang,"Belanja Cetak dan Penggandaan - Cetak Blanko SPTPD, Cetak Sticker",SELESAI,91486200,91486200
KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.03.0000,3867373,49604335,2024,Non Tender,APBD,SYAIFUL ANWAR DAULAY,Pengadaan Langsung,Jasa Konsultansi Perorangan Konstruksi,Konsultan Pengawasan Pembangunan Baru SPAM Jaringan Perpipaan di Desa Hutabargot Nauli Kec. Hutabargot,SELESAI,99234000,99234000
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,10247109,51356108,2024,E-Katalog 5.0,APBD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,SUPLEMEN LYTACUR RASA ORANGE,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,1188638,1188638
KAB. MANDAILING NATAL,DINAS PENDIDIKAN DAN KEBUDAYAAN - 1.01.2.22.0.00.01.0000,4033373,50635355,2024,Non Tender,APBD,cv. riski nauli,Pengadaan Langsung,Pekerjaan Konstruksi,PEMBANGUNAN RUANG UKS BESERTA PERABOTNYA (DAK) SD NEGERI 099 PROYEK BATANGGADIS,SELESAI,151782997,151782997
KAB. MANDAILING NATAL,BAGIAN KESEJAHTERAAN RAKYAT - 4.01.5.06.0.00.24.0002,3849373,51606682,2024,Non Tender,APBD,CV. ANUGRAH KARYA ABADI,Pengadaan Langsung,Jasa Lainnya,Belanja Sewa Kenderaan Bermotor Penumpang - Sewa Bus Pemberangkatan Haji,SELESAI,191950000,191950000
KAB. MANDAILING NATAL,BADAN KESATUAN BANGSA DAN POLITIK - 8.01.0.00.0.00.54.0000,4027373,52040048,2024,Non Tender,APBD,CV. KOTAMA,Pengadaan Langsung,Pengadaan Barang,Belanja Pakaian Olahraga dan Pakaian PASKIBRAKA,SELESAI,115844040,115844040
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,9389371,51356107,2024,E-Katalog 5.0,APBD,PT Axion Jaya Alkesindo,E-Purchasing,Pengadaan Barang,Oxygen Nasal Cannula Dewasa,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,10500000,10500000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,10538127,51459102,2024,E-Katalog 5.0,BLUD,PT. NOVELL PHARMACEUTICAL LABORATORIES,E-Purchasing,Pengadaan Barang,Tiamazol Tab 10 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,4885000,4885000
KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.03.0000,5154373,52698971,2024,Non Tender,APBD,CV. TAMIRUL FALAH,Pengadaan Langsung,Pekerjaan Konstruksi,Pembangunan IPAL Komunal di Mesjid H. Ismail Borotan Linkungan III Kelurahan Pasar Hilir Panyabungan,SELESAI,99466590,99466590
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,9335687,51459102,2024,E-Katalog 5.0,BLUD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Norepinephrine bitartate/ Norepinephrine bitartate monohydrate / Norepinephrine/ Norepinephrine base/ Norepinefrin inj 1 mg/ml,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2588200,2588200
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,10899196,51356107,2024,E-Katalog 5.0,APBD,PT MAKMUR JAYA HEALTHINDO,E-Purchasing,Pengadaan Barang,"HEALGEN URS-10 T Reagent Strips for Urinalysis Anti-VC Interverence Ability (Leukocytes, Nitrite, Urobilinogen, pH , Protein, Blood, Specific Gravity , Ketone, Bilirubin, Glucose)",MELAKUKAN PENGIRIMAN DAN PENERIMAAN,573000,573000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,11218016,53529595,2024,E-Katalog 5.0,BLUD,PT.Elsyahfi Calibratech Mandiri,E-Purchasing,Pengadaan Barang,USG,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,446000,446000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,9138830,51459102,2024,E-Katalog 5.0,BLUD,PT Yarindo Farmatama,E-Purchasing,Pengadaan Barang,Furosemid/ Furosemide tablet/kapsul/kaplet 40 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,5260000,5260000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,10406335,51459102,2024,E-Katalog 5.0,BLUD,PT. Holi Pharma,E-Purchasing,Pengadaan Barang,Kalsium laktat (kalk) tab 500 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,172000,172000
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,10028193,51356108,2024,E-Katalog 5.0,APBD,PT. MOLEX AYUS,E-Purchasing,Pengadaan Barang,MOLEXDINE Antiseptic Solution Botol 60 ml,PROSES KONTRAK PPK,1500000,1500000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,10709550,51459102,2024,E-Katalog 5.0,BLUD,PT. Hexpharm Jaya Laboratories,E-Purchasing,Pengadaan Barang,Lansoprazol kaps 30 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,12660000,12660000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,11218016,53529595,2024,E-Katalog 5.0,BLUD,PT.Elsyahfi Calibratech Mandiri,E-Purchasing,Pengadaan Barang,CPAP / Bubble CPAP / Baby CPAP,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2043000,2043000
KAB. MANDAILING NATAL,DINAS PERHUBUNGAN - 2.15.0.00.0.00.14.0000,5147373,51891743,2024,Non Tender,APBD,PT.ANGKASA RAYA CONSULTANT,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Non Konstruksi,Belanja Jasa Tenaga Ahli Penyusunan Dokumen ANDALALIN,SELESAI,99800100,99800100
KAB. MANDAILING NATAL,DINAS PENDIDIKAN DAN KEBUDAYAAN - 1.01.2.22.0.00.01.0000,9752765,52011912,2024,E-Katalog 5.0,APBD,CV. FAMILY ARTA GRAHA MANDIRI,E-Purchasing,Pengadaan Barang,Lemari Arsip,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,22130000,22130000
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,9612809,51356108,2024,E-Katalog 5.0,APBD,PT.INFION,E-Purchasing,Pengadaan Barang,CIPROFLOXACIN 500 MG,PROSES KONTRAK PPK,126600000,126600000
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,9588807,51356108,2024,E-Katalog 5.0,APBD,PT.Bernofarm,E-Purchasing,Pengadaan Barang,Paracetamol/ Parasetamol sirup 120 mg / 5 ml,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,31848000,31848000
KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.03.0000,8976735,49523770,2024,E-Katalog 5.0,APBD,PT. DALIHAN NATOLU GROUP,E-Purchasing,Pengadaan Barang,Lapis Resap Pengikat - Aspal Cair / Emulsi,PAKET SELESAI,472862250,472862250
KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.03.0000,8975338,51021126,2024,E-Katalog 5.0,APBD,PT. RONA NAMORA,E-Purchasing,Pengadaan Barang,Lapis Resap Pengikat - Aspal Cair/Emulsi,PAKET SELESAI,159334400,159334400
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,10055709,51356108,2024,E-Katalog 5.0,APBD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Betahistin tab 6 mg,PROSES KONTRAK PPK,9600000,9600000
KAB. MANDAILING NATAL,DINAS PERTANIAN - 3.27.0.00.0.00.22.0000,8936301,51084613,2024,E-Katalog 5.0,APBD,CV. AULIA RIZKI PRATAMA,E-Purchasing,Pengadaan Barang,Bibit Cabe Merah,PROSES KONTRAK PPK,166780000,166780000
KAB. MANDAILING NATAL,DINAS PENDIDIKAN DAN KEBUDAYAAN - 1.01.2.22.0.00.01.0000,3977373,50635544,2024,Non Tender,APBD,CV. SETYA SARI SUKSES,Pengadaan Langsung,Pekerjaan Konstruksi,PEMBANGUNAN PAGAR SD NEGERI 382 SINGKUANG,SELESAI,99000000,99000000
KAB. MANDAILING NATAL,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL - 2.12.0.00.0.00.11.0000,8947749,49512270,2024,E-Katalog 5.0,APBD,Mitra Tech Sejahtera,E-Purchasing,Pengadaan Barang,Ribbon Color YMCKO R5FP00308,PROSES KONTRAK PPK,261000000,0
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH DR. HUSNI THAMRIN - 1.02.0.00.0.00.02.0002,9134389,51354257,2024,E-Katalog 5.0,APBD,PT. INDOMEDIK NIAGA PERKASA,E-Purchasing,Pengadaan Barang,ECG Machine 12 Ch TEC 501,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,229600000,229600000
KAB. MANDAILING NATAL,DINAS PENDIDIKAN DAN KEBUDAYAAN - 1.01.2.22.0.00.01.0000,4045373,50634739,2024,Non Tender,APBD,CV. BERKAH QYMERA,Pengadaan Langsung,Pekerjaan Konstruksi,PEMBANGUNAN RUANG UKS BESERTA PERABOTNYA (DAK)  SMP ISLAM TERPADU AL HUSNAYAIN,SELESAI,142040240,142040240
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,10761387,51459102,2024,E-Katalog 5.0,BLUD,PT. Mersifarma Tirmaku Mercusana,E-Purchasing,Pengadaan Barang,Alprazolam tab 1 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,384000,384000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,10658322,51459102,2024,E-Katalog 5.0,BLUD,PT. Kimia Farma Tbk,E-Purchasing,Pengadaan Barang,Hidroklorotiazid tab 25 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,489000,489000
KAB. MANDAILING NATAL,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN SERTA PERTANAHAN - 1.04.2.10.0.00.04.0000,4072373,49936945,2024,Non Tender,APBD,CV. BINTANG KARYA BHAKTI,Pengadaan Langsung,Pekerjaan Konstruksi,Peningkatan Jalan Lingkungan Desa Roburan Lombang Kec. Panyabungan Selatan,SELESAI,99474908,99474908
KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.03.0000,8941316,49523772,2024,E-Katalog 5.0,APBD,DEMBAN SIMPAR JAYA,E-Purchasing,Pengadaan Barang,Lapis Resap Pengikat - Aspal Cair - Emulsi,PAKET SELESAI,279648294,279648294
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,10401037,51322684,2024,E-Katalog 5.0,APBD,PT.Elsyahfi Calibratech Mandiri,E-Purchasing,Pengadaan Barang,Regulator Oksigen,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,1465000,1465000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,10355084,51459102,2024,E-Katalog 5.0,BLUD,Andreas Karya Terbesar,E-Purchasing,Pengadaan Barang,DIAFLUID ACID,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,27039600,27039600
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,10102703,51356108,2024,E-Katalog 5.0,APBD,NOVAPHARIN,E-Purchasing,Pengadaan Barang,Griseofulvin tablet/kapsul/kaplet 125 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,3910000,3910000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,9958999,51459102,2024,E-Katalog 5.0,BLUD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Divalproex sodium / Valproat tablet lepas lambat/kaplet lepas lambat 500 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,21240000,21240000
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,9589799,51356109,2024,E-Katalog 5.0,APBD,PT.TOP POINT MEDICAL,E-Purchasing,Pengadaan Barang,TP INFUSION SET Y-SITE PEDIATRIC,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,62004800,62004800
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,9687137,51411949,2024,E-Katalog 5.0,APBD,PT. ENDO Indonesia,E-Purchasing,Pengadaan Barang,Spirometer; Spirolab,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,124500000,0
KAB. MANDAILING NATAL,DINAS PERTANIAN - 3.27.0.00.0.00.22.0000,3802373,49584226,2024,Non Tender,APBD,CV. AULIA RIZKI PRATAMA,Pengadaan Langsung,Pengadaan Barang,Belanja Obat - Obatan Ternak,SELESAI,136905000,0
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,9780262,51459102,2024,E-Katalog 5.0,BLUD,PT AstraZeneca Indonesia,E-Purchasing,Pengadaan Barang,"kombinasi, setiap dosis mengandung : Budesonid 160 mcg Formoterol 4,5 mcg (inhalasi), 120 dosis kemasan turbuhaler",MELAKUKAN PENGIRIMAN DAN PENERIMAAN,33368000,0
KAB. MANDAILING NATAL,DINAS PEMUDA DAN OLAHRAGA - 2.19.0.00.0.00.18.0000,9243448,50855612,2024,E-Katalog 5.0,APBD,CV. PUTRA DOLOK SIHITE,E-Purchasing,Pengadaan Barang,BOLA KAKI NO. 3,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,33800000,33800000
KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.03.0000,8976735,49523770,2024,E-Katalog 5.0,APBD,PT. DALIHAN NATOLU GROUP,E-Purchasing,Pengadaan Barang,Lapis Pondasi Aggregat Kelas B,PAKET SELESAI,573560000,573560000
KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.03.0000,8976735,49523770,2024,E-Katalog 5.0,APBD,PT. DALIHAN NATOLU GROUP,E-Purchasing,Pengadaan Barang,Pasangan Batu,PAKET SELESAI,92249977,92249977
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,9780476,51459102,2024,E-Katalog 5.0,BLUD,PT. Merck Tbk,E-Purchasing,Pengadaan Barang,"Bisoprolol tablet/kapsul/kaplet 1,25 mg",MELAKUKAN PENGIRIMAN DAN PENERIMAAN,5072500,5072500
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,9579524,51356108,2024,E-Katalog 5.0,APBD,PT. TRIFA RAYA LABORATORIES,E-Purchasing,Pengadaan Barang,VITAMIN B1 50 MG,PROSES KONTRAK PPK,22000000,22000000
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,10033389,51356108,2024,E-Katalog 5.0,APBD,PT Ethica Industri Farmasi,E-Purchasing,Pengadaan Barang,Oxytocin/ Oksitosin inj 10 IU/ml,PROSES KONTRAK PPK,11844000,11844000
KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.03.0000,2953373,49863279,2024,Tender,APBD,CV. MULTI SYSTEM,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,Koordinasi dan Sinkronisasi Perencanaan Tata Ruang Daerah Kabupaten/Kota,SELESAI,247851900,247851900
KAB. MANDAILING NATAL,DINAS PENDIDIKAN DAN KEBUDAYAAN - 1.01.2.22.0.00.01.0000,3980373,50634669,2024,Non Tender,APBD,CV Madina Aman Sejahtera,Pengadaan Langsung,Pekerjaan Konstruksi,REHABILITASI RUANG KELAS SMP NEGERI 1 HUTABARGOT,SELESAI,118700001,118700001
KAB. MANDAILING NATAL,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU - 2.18.0.00.0.00.17.0000,9553024,51662205,2024,E-Katalog 5.0,APBD,CV. NAMBURAK,E-Purchasing,Pengadaan Barang,SOFA TAMU SET,PROSES KONTRAK PPK,7150000,7150000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,10592284,51459106,2024,E-Katalog 5.0,BLUD,PT Surgika Alkesindo,E-Purchasing,Pengadaan Barang,Laryngeal Mask Airway 42-4010,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,696000,0
KAB. MANDAILING NATAL,SEKRETARIAT DPRD - 4.02.0.00.0.00.25.0000,4101373,50451209,2024,Non Tender,APBD,CV. CAHAYA,Pengadaan Langsung,Pengadaan Barang,Biaya Pengadaan Pakaian Dinas Pimpinan dan Anggota DPRD Pakaian Sipil Lengkap,SELESAI,99456000,99456000
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,4067373,51355019,2024,Non Tender,APBD,CV. RENDER CONSULTANT,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Non Konstruksi,Belanja Jasa Tenaga Ahli - Belanja Jasa Konsultan Pengawasan,SELESAI,74703000,74703000
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,10029342,51356109,2024,E-Katalog 5.0,APBD,PT Axion Jaya Alkesindo,E-Purchasing,Pengadaan Barang,URIC ACID STRIPS PACKAGE,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,28480000,28480000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,9098725,51459102,2024,E-Katalog 5.0,BLUD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Clobazam/ Klobazam tablet/kapsul/kaplet 10 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,4985000,4985000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,10131495,51459102,2024,E-Katalog 5.0,BLUD,PT AstraZeneca Indonesia,E-Purchasing,Pengadaan Barang,"Kombinasi KDT/FDC setiap dosis mengandung Budesonid 160 mcg/Formoterol 4,5 mcg Ih 120 dosis, Turbuhaler",MELAKUKAN PENGIRIMAN DAN PENERIMAAN,33368000,0
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,9464361,51356108,2024,E-Katalog 5.0,APBD,PT.Bernofarm,E-Purchasing,Pengadaan Barang,"Mometasone furoate/ Mometason furoat krim 0,1%",MELAKUKAN PENGIRIMAN DAN PENERIMAAN,739500,739500
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,10141134,51459102,2024,E-Katalog 5.0,BLUD,Andreas Karya Terbesar,E-Purchasing,Pengadaan Barang,DIAFLUID ACID,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,19314000,19314000
KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.03.0000,3817373,49604328,2024,Non Tender,APBD,Heru syahputra,Pengadaan Langsung,Jasa Konsultansi Perorangan Konstruksi,Konsultan Pengawasan Pembangunan SPAM Jaringan Perpipaan di Simpang Durian Kec. Lingga Bayu,SELESAI,79564800,79564800
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,10031751,51356108,2024,E-Katalog 5.0,APBD,PT. MARIN LIZA FARMASI,E-Purchasing,Pengadaan Barang,"Antifungi Salep, Kombinasi: Asam Benzoat 6% + Asam Salisilat 3% / Salep Whitfield",PROSES KONTRAK PPK,1792752,1792752
