Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,01KS4CMP3DWYKN2P4GEFMYKBT4,66765523,2026,E-Katalog 6.0,BLUD,PERUSAHAAN PERSEROAN (PERSERO) PT. BIO FARMA DISINGKAT PT. BIO FARMA (PERSERO),E-Purchasing,Barang,Belanja Barang dan Jasa BLUD,ON PROCESS,4680004,4680004
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,10818603000,66762021,2026,Non Tender,BLUD,CV.HD KARYA CONSULTANT,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,"Belanja Modal Gedung dan Bangunan BLUD
Konsultan Perencanaan Gudang Genset,Pembangunan Pagar   
Keliling,Rehab Ruang CT Scan Kedua dan Pembangunan Jalan  
Dalam Lingkungan Rsud",SELESAI,39110850,39110850
KAB. MANDAILING NATAL,DINAS PERDAGANGAN - 3.30.3.31.0.00.23.0000,10858028000,65155629,2026,Non Tender,APBD,CV. AULIA RIZKI PRATAMA,Pengadaan Langsung,Pekerjaan Konstruksi,Pembuatan Grill Penutup Parit/ Drainase Pasar Baru Panyabungan,BERLANGSUNG,119200000,119200000
KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.03.0000,10888130000,67049403,2026,Non Tender,APBD,CV. SINGOLOT MANIKAM PERSADA,Pengadaan Langsung,Pekerjaan Konstruksi,Normalisasi Sungai Batang Gadis Pada Jembatan Abdul Hakim Ritonga Kec. Panyabungan Utara - Kec. Naga Juang,BERLANGSUNG,392600000,392600000
KAB. MANDAILING NATAL,DINAS PERTANIAN - 3.27.0.00.0.00.22.0000,01KQE8ZES62N7926912XG2PM6R,66965739,2026,E-Katalog 6.0,APBD,RUTAN,E-Purchasing,Barang,Belanja Barang untuk Dijual/Diserahkan kepada Masyarakat,ON PROCESS,412141000,412141000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,01KQ95J8R35JVNVT52YCQNW6VY,66336292,2026,E-Katalog 6.0,BLUD,PT. Serenity Indonesia,E-Purchasing,Barang,Belanja Modal Peralatan dan Mesin BLUD,ON PROCESS,52152100,52152100
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,01KPWAY44RWMRPEPZ4H92QTY0B,65477682,2026,E-Katalog 6.0,APBD,BERNOFARM,E-Purchasing,Barang,"Pengadaan Obat, Vaksin (DAU PERUNTUKAN KESEHATAN)",ON PROCESS,329634480,329634480
KAB. MANDAILING NATAL,DINAS PERTANIAN - 3.27.0.00.0.00.22.0000,01KKTJKKMG65Y0GHV2WA5VYH0M,65654436,2026,E-Katalog 6.0,APBD,MUTIARA MUTIARA ABADI,E-Purchasing,Barang,Belanja Bahan-Bahan/Bibit Tanaman,PAYMENT OUTSIDE SYSTEM,387212400,387212400
KAB. MANDAILING NATAL,DINAS PERTANIAN - 3.27.0.00.0.00.22.0000,01KKX6EE49CTFG0NCDQRSE2YEQ,65654477,2026,E-Katalog 6.0,APBD,PUTRA PRATAMA,E-Purchasing,Barang,Belanja Bahan-Bahan/Bibit Tanaman,PAYMENT OUTSIDE SYSTEM,175557000,175557000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,01KPFS4AR9JWN4WCT2PBV8Y466,66765523,2026,E-Katalog 6.0,BLUD,SATORIA ANEKA INDUSTRI,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD,ON PROCESS,136628568,136628568
